has_profile_pic,num_posts,num_followers,num_following,bio_len,text_content,is_fake
1,29,749,182,30,Loving the weather today. Loving the weather today. Exploring new places.,0
0,0,26,1220,3,Best deals on crypto. Follow for follow back. Make money online fast.,1
1,28,62,100,57,Life is good. Happy birthday to me!,0
1,1,10,1037,3,Discount codes available. Earn $500 daily easily! Cheap luxury bags.,1
0,0,91,1100,0,Click here for free money! DM for collaboration. Click here for free money!,1
0,7,24,726,10,Click here for free money! Best deals on crypto.,1
1,80,296,366,35,Check out my latest photo. Happy birthday to me! Just had a great coffee!,0
1,99,38,474,35,Just had a great coffee! Learning Python is fun!,0
0,2,7,966,24,DM for collaboration. Make money online fast. Visit my profile for more.,1
0,7,16,679,10,Follow for follow back. Cheap luxury bags. Best deals on crypto.,1
1,53,1664,374,45,Check out my latest photo. Learning Python is fun! Can't wait for the weekend!,0
0,3,26,994,3,Follow for follow back. Follow for follow back. Earn $500 daily easily!,1
1,72,1125,406,24,Life is good. Loving the weather today.,0
1,0,68,366,42,Life is good. Learning Python is fun!,0
0,1,5,1022,5,Visit my profile for more.,1
1,2,32,1340,3,Earn $500 daily easily! Make money online fast.,1
1,34,22,296,42,Exploring new places. Just had a great coffee! Happy birthday to me!,0
0,6,38,1020,3,Earn $500 daily easily! Visit my profile for more.,1
0,1,2,708,2,Visit my profile for more. Best deals on crypto.,1
1,2,1,867,1,Make money online fast. Click here for free money!,1
1,45,97,314,31,Loving the weather today. Had an amazing trip with friends.,0
0,0,18,888,8,Discount codes available. Cheap luxury bags.,1
1,3,2,859,7,Cheap luxury bags. Cheap luxury bags.,1
1,18,1345,136,42,Happy birthday to me! Learning Python is fun! Working on my new project.,0
1,53,128,198,17,Life is good.,0
0,4,1,851,0,Earn $500 daily easily!,1
1,60,383,230,34,Happy birthday to me! Had an amazing trip with friends.,0
0,7,21,762,6,Cheap luxury bags. Best deals on crypto.,1
0,0,17,738,8,Make money online fast. Earn $500 daily easily! Follow for follow back.,1
1,17,785,232,26,Working on my new project. Happy birthday to me!,0
1,37,331,210,22,Had an amazing trip with friends. Happy birthday to me!,0
0,4,13,962,0,Visit my profile for more. Make money online fast.,1
1,3,6,1060,4,Visit my profile for more. DM for collaboration.,1
1,43,17,447,30,Happy birthday to me! Learning Python is fun!,0
0,1,98,937,19,Click here for free money! Visit my profile for more. Best deals on crypto.,1
0,16,22,378,51,Exploring new places.,0
0,1,0,931,7,Earn $500 daily easily! Win a free iPhone now.,1
1,1,17,905,0,Discount codes available. Cheap luxury bags. DM for collaboration.,1
1,6,3,960,0,Discount codes available.,1
1,65,23,343,23,Just had a great coffee! Working on my new project.,0
0,4,7,875,1,DM for collaboration.,1
1,39,2131,422,37,Life is good. Happy birthday to me! Learning Python is fun!,0
1,88,50,345,52,Happy birthday to me! Can't wait for the weekend!,0
0,14,51,837,0,Make money online fast. Win a free iPhone now.,1
1,51,548,227,28,Check out my latest photo. Loving the weather today.,0
1,29,223,302,31,Happy birthday to me! Loving the weather today.,0
0,24,20,890,1,Win a free iPhone now.,1
1,88,185,147,25,Working on my new project. Just had a great coffee! Just had a great coffee!,0
1,6,8,1075,17,DM for collaboration. Follow for follow back. Make money online fast.,1
1,49,226,388,38,Just had a great coffee!,0
1,9,15,968,1,Make money online fast. Follow for follow back.,1
1,72,401,361,35,Exploring new places. Can't wait for the weekend!,0
0,4,27,772,1,Click here for free money! Earn $500 daily easily! Visit my profile for more.,1
1,0,11,744,12,Follow for follow back.,1
0,6,0,1019,0,DM for collaboration. Click here for free money! Best deals on crypto.,1
0,1,52,1112,6,Click here for free money!,1
1,41,475,279,15,Check out my latest photo. Working on my new project. Learning Python is fun!,0
0,0,9,1086,0,Best deals on crypto. Make money online fast. Earn $500 daily easily!,1
1,71,138,271,10,Working on my new project. Exploring new places. Just had a great coffee!,0
1,54,156,281,22,Check out my latest photo. Life is good.,0
1,28,101,102,31,Check out my latest photo. Check out my latest photo.,0
0,2,2,777,0,Follow for follow back.,1
1,11,8,940,8,Earn $500 daily easily! Cheap luxury bags. Click here for free money!,1
1,84,421,367,34,Happy birthday to me! Happy birthday to me! Exploring new places.,0
0,4,10,968,0,Follow for follow back.,1
1,33,152,304,37,Can't wait for the weekend!,0
1,69,117,357,29,Loving the weather today. Happy birthday to me! Learning Python is fun!,0
1,57,168,271,44,Learning Python is fun! Just had a great coffee! Loving the weather today.,0
1,31,125,303,22,Can't wait for the weekend!,0
1,49,12,292,36,Exploring new places. Learning Python is fun! Life is good.,0
1,45,135,160,21,Just had a great coffee! Life is good.,0
0,13,42,1190,4,Make money online fast. DM for collaboration.,1
1,50,96,443,22,Exploring new places.,0
0,4,1,1025,0,Follow for follow back.,1
1,8,19,1193,1,Cheap luxury bags.,1
1,41,526,427,15,Just had a great coffee!,0
1,53,56,429,11,Life is good. Can't wait for the weekend! Life is good.,0
0,13,0,862,4,DM for collaboration. Win a free iPhone now. Follow for follow back.,1
0,0,1,628,5,Cheap luxury bags. Visit my profile for more. Make money online fast.,1
0,2,1,1162,2,Visit my profile for more. Make money online fast. Discount codes available.,1
0,3,27,750,0,Earn $500 daily easily! Win a free iPhone now.,1
0,3,19,1024,2,Discount codes available. Visit my profile for more. Discount codes available.,1
1,2,18,859,0,Earn $500 daily easily! Cheap luxury bags.,1
0,13,5,533,1,Best deals on crypto.,1
1,36,990,430,27,Check out my latest photo. Loving the weather today.,0
0,3,8,1396,2,Discount codes available.,1
0,6,50,980,5,Best deals on crypto. Earn $500 daily easily! Best deals on crypto.,1
0,36,65,416,3,Can't wait for the weekend! Exploring new places. Life is good.,0
0,43,84,325,39,Just had a great coffee! Life is good.,0
1,31,142,287,31,Working on my new project.,0
1,48,5,390,17,Exploring new places. Can't wait for the weekend! Loving the weather today.,0
1,35,29,284,25,Loving the weather today.,0
0,8,28,921,17,Make money online fast. Earn $500 daily easily!,1
0,0,13,940,28,Follow for follow back. DM for collaboration.,1
1,76,1071,264,24,Can't wait for the weekend! Life is good. Working on my new project.,0
1,83,236,381,15,Loving the weather today. Loving the weather today. Working on my new project.,0
1,68,164,371,31,Check out my latest photo.,0
1,50,227,316,16,Exploring new places.,0
1,74,572,393,39,Just had a great coffee!,0
1,72,141,298,39,Had an amazing trip with friends. Loving the weather today. Working on my new project.,0
0,14,20,1229,9,Follow for follow back. Click here for free money!,1
1,19,191,401,27,Can't wait for the weekend!,0
1,59,113,369,40,Just had a great coffee! Just had a great coffee!,0
0,1,16,1019,4,DM for collaboration.,1
0,72,67,188,33,Exploring new places.,0
1,84,10,382,36,Learning Python is fun! Exploring new places. Life is good.,0
0,0,3,878,2,Follow for follow back.,1
1,2,7,892,2,Best deals on crypto. Cheap luxury bags.,1
0,0,25,766,4,DM for collaboration.,1
0,16,30,989,6,Earn $500 daily easily!,1
1,33,660,226,7,Life is good.,0
1,35,283,265,42,Check out my latest photo. Check out my latest photo.,0
1,2,28,926,1,Cheap luxury bags.,1
0,1,96,1143,1,Win a free iPhone now. Discount codes available.,1
1,76,311,414,32,Life is good. Just had a great coffee! Life is good.,0
1,43,7,384,27,Had an amazing trip with friends.,0
1,4,250,303,31,Happy birthday to me! Had an amazing trip with friends.,0
0,0,1,1214,0,Cheap luxury bags. Follow for follow back.,1
0,2,14,1038,2,DM for collaboration. Win a free iPhone now. Win a free iPhone now.,1
1,56,229,378,38,Just had a great coffee! Working on my new project. Exploring new places.,0
1,86,84,202,32,Happy birthday to me! Working on my new project.,0
0,3,20,1031,9,Earn $500 daily easily! DM for collaboration.,1
0,2,0,1302,0,Discount codes available. Follow for follow back. Cheap luxury bags.,1
0,2,0,905,0,Visit my profile for more. DM for collaboration.,1
1,47,389,244,24,Check out my latest photo. Life is good.,0
1,54,527,488,34,Happy birthday to me!,0
1,74,330,383,42,Loving the weather today. Had an amazing trip with friends.,0
0,18,1,882,6,Make money online fast. Follow for follow back.,1
0,4,2,1005,13,Click here for free money!,1
1,54,119,454,26,Just had a great coffee! Working on my new project.,0
0,0,14,1211,2,Win a free iPhone now. Discount codes available.,1
1,62,6,407,36,Working on my new project. Can't wait for the weekend! Check out my latest photo.,0
1,37,564,192,33,Working on my new project. Learning Python is fun! Check out my latest photo.,0
1,22,79,935,4,Best deals on crypto. DM for collaboration.,1
0,10,30,745,8,Discount codes available.,1
1,49,1378,370,36,Happy birthday to me! Loving the weather today.,0
0,11,2,842,5,Cheap luxury bags. Follow for follow back. DM for collaboration.,1
0,5,17,1178,10,Earn $500 daily easily! Best deals on crypto.,1
0,0,3,1096,2,Click here for free money!,1
0,60,1028,300,26,Life is good. Can't wait for the weekend!,0
1,8,25,842,6,Visit my profile for more.,1
0,4,21,723,15,Win a free iPhone now. Click here for free money!,1
1,0,2,1023,0,Cheap luxury bags.,1
1,48,148,314,39,Had an amazing trip with friends. Check out my latest photo.,0
0,7,22,938,2,Win a free iPhone now. Follow for follow back.,1
0,1,18,1099,7,Discount codes available.,1
1,54,749,288,32,Check out my latest photo.,0
0,2,75,970,2,Make money online fast.,1
1,55,1545,481,23,Can't wait for the weekend! Exploring new places.,0
0,0,25,1034,13,Best deals on crypto. DM for collaboration.,1
1,11,940,392,22,Happy birthday to me! Check out my latest photo. Had an amazing trip with friends.,0
0,4,12,682,3,Click here for free money! Discount codes available. DM for collaboration.,1
1,39,651,196,7,Happy birthday to me! Had an amazing trip with friends. Just had a great coffee!,0
1,65,428,11,27,Had an amazing trip with friends.,0
1,73,77,156,24,Just had a great coffee!,0
1,71,908,496,32,Just had a great coffee! Had an amazing trip with friends. Life is good.,0
1,69,360,335,43,Just had a great coffee!,0
1,3,25,1287,3,Earn $500 daily easily!,1
1,72,118,373,13,Check out my latest photo. Working on my new project. Happy birthday to me!,0
1,2,43,960,4,Follow for follow back. Best deals on crypto.,1
0,1,11,804,1,Win a free iPhone now.,1
0,3,18,1216,3,Visit my profile for more. Win a free iPhone now.,1
1,47,50,404,34,Working on my new project. Life is good.,0
0,10,9,956,8,DM for collaboration. Click here for free money!,1
1,59,217,380,32,Just had a great coffee! Learning Python is fun! Just had a great coffee!,0
1,8,41,1084,5,Discount codes available.,1
0,9,10,652,0,Visit my profile for more.,1
1,65,886,365,13,Check out my latest photo. Working on my new project. Learning Python is fun!,0
0,3,20,1239,13,Cheap luxury bags. Earn $500 daily easily!,1
0,5,13,1068,5,Win a free iPhone now. Cheap luxury bags.,1
0,0,8,909,7,Best deals on crypto. DM for collaboration. Win a free iPhone now.,1
1,43,287,502,29,Happy birthday to me!,0
0,4,29,1141,0,DM for collaboration.,1
1,71,987,356,35,Check out my latest photo. Learning Python is fun!,0
0,4,42,930,1,Cheap luxury bags. Discount codes available. Win a free iPhone now.,1
1,83,902,489,20,Loving the weather today. Life is good. Happy birthday to me!,0
1,47,812,364,21,Exploring new places.,0
0,0,56,605,11,DM for collaboration.,1
1,68,326,366,38,Check out my latest photo. Exploring new places.,0
1,20,315,270,31,Working on my new project. Exploring new places.,0
1,92,229,362,33,Had an amazing trip with friends. Working on my new project.,0
1,46,69,216,32,Had an amazing trip with friends. Happy birthday to me!,0
0,1,63,1457,1,Win a free iPhone now.,1
0,1,27,1101,2,Visit my profile for more. Click here for free money!,1
1,25,520,285,25,Exploring new places. Just had a great coffee! Exploring new places.,0
0,0,18,1194,17,Earn $500 daily easily! Make money online fast. DM for collaboration.,1
1,51,110,291,40,Happy birthday to me!,0
1,51,334,303,31,Had an amazing trip with friends. Life is good. Happy birthday to me!,0
1,56,329,333,29,Check out my latest photo.,0
0,15,50,1190,8,Earn $500 daily easily! Cheap luxury bags.,1
1,55,1064,432,34,Check out my latest photo.,0
1,38,1737,285,27,Exploring new places.,0
1,9,253,42,34,Working on my new project.,0
1,32,1789,373,32,Can't wait for the weekend!,0
0,6,7,842,5,Visit my profile for more. Make money online fast. Cheap luxury bags.,1
0,12,0,955,9,Earn $500 daily easily! Follow for follow back.,1
0,1,7,1267,2,Best deals on crypto. DM for collaboration.,1
0,2,47,897,1,Make money online fast.,1
0,68,932,383,37,Happy birthday to me! Happy birthday to me! Learning Python is fun!,0
1,18,650,337,29,Learning Python is fun! Learning Python is fun!,0
1,27,458,436,37,Loving the weather today.,0
1,56,395,393,21,Life is good. Had an amazing trip with friends. Exploring new places.,0
1,52,1493,335,41,Life is good.,0
1,41,300,123,17,Working on my new project. Happy birthday to me!,0
0,9,24,1009,0,Earn $500 daily easily! Best deals on crypto.,1
1,93,457,295,26,Happy birthday to me! Learning Python is fun!,0
1,1,40,904,13,Follow for follow back. Follow for follow back. Win a free iPhone now.,1
0,1,25,1121,20,Follow for follow back. DM for collaboration.,1
1,70,419,293,5,Learning Python is fun!,0
0,0,13,862,1,Discount codes available. Cheap luxury bags. Discount codes available.,1
1,4,41,1022,6,Visit my profile for more.,1
1,0,4,1056,1,Follow for follow back.,1
0,10,121,1067,6,Earn $500 daily easily!,1
1,13,4,832,12,Earn $500 daily easily!,1
1,44,625,197,42,Had an amazing trip with friends.,0
0,1,2,1027,2,Make money online fast.,1
1,59,146,263,38,Loving the weather today. Can't wait for the weekend! Happy birthday to me!,0
1,52,239,296,27,Happy birthday to me!,0
1,92,820,139,34,Check out my latest photo. Happy birthday to me!,0
0,4,2,569,1,Win a free iPhone now.,1
1,0,0,1126,0,Earn $500 daily easily! DM for collaboration.,1
0,11,69,1208,1,Visit my profile for more. Make money online fast.,1
1,22,70,317,40,Had an amazing trip with friends. Exploring new places. Exploring new places.,0
0,7,17,638,2,Follow for follow back.,1
1,34,10,439,29,Check out my latest photo. Can't wait for the weekend!,0
0,4,2,1005,15,Make money online fast.,1
0,8,7,1414,1,Follow for follow back. Best deals on crypto.,1
0,46,234,337,39,Happy birthday to me!,0
1,51,98,129,37,Check out my latest photo. Exploring new places.,0
0,3,44,712,0,Click here for free money! Visit my profile for more.,1
1,39,1730,258,21,Can't wait for the weekend! Working on my new project. Check out my latest photo.,0
0,7,20,735,3,Follow for follow back. Best deals on crypto. Discount codes available.,1
0,1,32,843,1,Visit my profile for more. Win a free iPhone now.,1
0,5,8,1030,1,Discount codes available. Make money online fast.,1
1,43,36,176,28,Life is good.,0
1,63,378,387,12,Just had a great coffee! Loving the weather today.,0
0,3,73,938,4,Cheap luxury bags.,1
1,46,310,343,42,Had an amazing trip with friends. Had an amazing trip with friends.,0
0,2,4,976,3,Follow for follow back. Discount codes available. Cheap luxury bags.,1
0,0,2,1115,1,Discount codes available. Best deals on crypto. Earn $500 daily easily!,1
0,28,338,441,39,Working on my new project. Working on my new project.,0
0,5,3,877,1,Discount codes available. Make money online fast.,1
0,3,21,1205,2,Follow for follow back.,1
0,0,22,851,5,Make money online fast. Win a free iPhone now. Discount codes available.,1
1,32,940,172,18,Can't wait for the weekend!,0
1,74,374,293,21,Learning Python is fun! Had an amazing trip with friends.,0
0,2,8,1023,0,Click here for free money! Discount codes available.,1
1,45,418,380,31,Learning Python is fun! Check out my latest photo.,0
1,65,1149,150,36,Life is good. Had an amazing trip with friends. Loving the weather today.,0
0,6,16,1205,1,Discount codes available. Cheap luxury bags.,1
0,5,6,1162,0,Make money online fast.,1
1,5,9,1357,6,Visit my profile for more. Visit my profile for more.,1
1,59,503,146,28,Happy birthday to me!,0
0,4,10,1450,1,Cheap luxury bags.,1
0,10,4,1297,10,Visit my profile for more. Follow for follow back.,1
1,51,1051,348,37,Working on my new project. Just had a great coffee!,0
0,0,18,1129,1,Visit my profile for more.,1
0,33,42,345,19,Had an amazing trip with friends. Can't wait for the weekend!,0
1,71,25,330,43,Working on my new project.,0
1,85,314,230,34,Life is good. Loving the weather today.,0
1,58,695,445,42,Life is good. Exploring new places. Had an amazing trip with friends.,0
1,19,335,190,37,Loving the weather today.,0
1,67,1915,262,30,Life is good.,0
0,5,35,1006,1,Visit my profile for more. Best deals on crypto.,1
0,0,20,1169,7,Cheap luxury bags. Visit my profile for more. Best deals on crypto.,1
1,0,127,286,38,Happy birthday to me! Can't wait for the weekend!,0
0,6,9,838,9,Make money online fast. Discount codes available.,1
0,0,9,729,1,Win a free iPhone now. Click here for free money! Make money online fast.,1
1,0,14,838,5,Earn $500 daily easily! Cheap luxury bags. Click here for free money!,1
0,30,102,463,29,Learning Python is fun!,0
0,2,4,1214,11,Click here for free money! Visit my profile for more.,1
1,55,476,231,32,Learning Python is fun! Exploring new places.,0
1,32,1132,361,35,Life is good. Loving the weather today.,0
0,5,14,1138,1,DM for collaboration.,1
1,49,2145,212,28,Exploring new places. Had an amazing trip with friends. Check out my latest photo.,0
1,55,686,332,24,Happy birthday to me! Happy birthday to me! Exploring new places.,0
0,3,9,747,41,Make money online fast. Earn $500 daily easily! Earn $500 daily easily!,1
1,43,480,358,45,Exploring new places. Can't wait for the weekend!,0
0,6,31,1054,4,Make money online fast. Earn $500 daily easily! Best deals on crypto.,1
1,49,356,478,36,Happy birthday to me! Can't wait for the weekend!,0
0,40,809,228,18,Learning Python is fun! Exploring new places.,0
1,15,904,303,40,Had an amazing trip with friends. Life is good.,0
1,40,153,378,26,Working on my new project. Check out my latest photo.,0
0,2,46,1106,0,Discount codes available.,1
1,75,2005,341,27,Exploring new places.,0
1,76,2,313,49,Exploring new places.,0
1,63,238,309,39,Had an amazing trip with friends. Exploring new places.,0
1,54,1575,252,41,Loving the weather today.,0
0,6,26,1034,5,Click here for free money! Visit my profile for more.,1
1,0,64,1298,2,Make money online fast. Discount codes available. Earn $500 daily easily!,1
1,55,596,328,26,Happy birthday to me! Check out my latest photo. Can't wait for the weekend!,0
1,6,26,896,0,Cheap luxury bags. Discount codes available. DM for collaboration.,1
0,10,28,1341,4,Cheap luxury bags. DM for collaboration. Cheap luxury bags.,1
1,51,707,319,24,Can't wait for the weekend! Had an amazing trip with friends. Check out my latest photo.,0
1,52,373,428,24,Life is good.,0
0,2,1,801,5,DM for collaboration. Visit my profile for more.,1
1,20,370,290,20,Loving the weather today. Can't wait for the weekend! Working on my new project.,0
1,25,410,357,23,Life is good. Happy birthday to me! Check out my latest photo.,0
0,2,0,908,3,Best deals on crypto.,1
1,36,546,290,28,Life is good. Exploring new places. Can't wait for the weekend!,0
1,7,9,1053,10,DM for collaboration. Win a free iPhone now.,1
0,6,3,1471,0,Discount codes available.,1
1,62,214,382,31,Exploring new places. Just had a great coffee! Can't wait for the weekend!,0
1,90,937,344,33,Happy birthday to me!,0
0,3,31,925,7,Visit my profile for more. Best deals on crypto. Win a free iPhone now.,1
1,41,273,238,24,Just had a great coffee! Learning Python is fun!,0
1,60,33,408,14,Just had a great coffee! Check out my latest photo.,0
1,31,725,263,17,Exploring new places. Working on my new project. Learning Python is fun!,0
1,3,6,1314,8,Win a free iPhone now. Make money online fast.,1
1,72,199,403,40,Loving the weather today.,0
1,86,503,327,32,Working on my new project.,0
1,30,675,225,28,Check out my latest photo. Just had a great coffee!,0
1,56,31,502,33,Loving the weather today. Working on my new project. Loving the weather today.,0
1,59,56,266,42,Check out my latest photo. Working on my new project. Exploring new places.,0
1,79,730,377,26,Had an amazing trip with friends. Life is good. Learning Python is fun!,0
0,27,11,991,33,Click here for free money! Cheap luxury bags.,1
1,52,63,368,25,Learning Python is fun!,0
1,47,242,546,35,Happy birthday to me! Had an amazing trip with friends.,0
0,4,41,785,4,Discount codes available.,1
0,6,63,1037,0,Win a free iPhone now. Click here for free money!,1
0,2,5,758,1,Win a free iPhone now. Cheap luxury bags. Click here for free money!,1
1,0,4,1160,0,Make money online fast. Earn $500 daily easily!,1
0,5,51,907,2,DM for collaboration. DM for collaboration.,1
0,6,7,1319,0,Click here for free money!,1
1,24,172,209,27,Check out my latest photo.,0
0,6,9,1024,0,Cheap luxury bags.,1
1,30,436,330,30,Learning Python is fun! Exploring new places.,0
0,1,30,1551,3,Make money online fast. Discount codes available. Discount codes available.,1
0,1,4,1041,6,Discount codes available.,1
1,60,101,227,19,Exploring new places. Life is good.,0
0,0,19,988,13,Win a free iPhone now.,1
1,53,822,332,33,Learning Python is fun! Learning Python is fun!,0
0,4,76,855,6,Click here for free money! Win a free iPhone now.,1
1,84,9,215,35,Happy birthday to me!,0
1,36,818,265,27,Loving the weather today.,0
0,0,10,1330,3,Best deals on crypto. Follow for follow back.,1
0,5,13,1374,3,Best deals on crypto. Make money online fast.,1
0,0,2,1106,5,Discount codes available.,1
0,57,88,449,24,Exploring new places. Just had a great coffee!,0
0,0,24,1200,17,Best deals on crypto. Discount codes available.,1
1,46,821,426,23,Happy birthday to me!,0
1,2,3,858,20,Follow for follow back. Earn $500 daily easily!,1
0,0,5,1104,17,Discount codes available. Make money online fast. Discount codes available.,1
0,10,78,936,5,Click here for free money!,1
1,63,174,343,35,Learning Python is fun!,0
1,0,6,1266,1,Discount codes available.,1
1,27,486,339,25,Life is good.,0
1,55,1904,184,31,Life is good.,0
0,2,20,929,1,Click here for free money! Win a free iPhone now. Best deals on crypto.,1
1,23,101,447,30,Learning Python is fun! Exploring new places.,0
1,88,833,373,23,Loving the weather today. Check out my latest photo. Life is good.,0
1,35,419,238,48,Loving the weather today.,0
0,1,5,960,18,Earn $500 daily easily! Earn $500 daily easily!,1
0,0,8,1040,7,Earn $500 daily easily!,1
0,1,5,1104,19,Win a free iPhone now. Best deals on crypto. Earn $500 daily easily!,1
1,61,329,251,44,Working on my new project. Just had a great coffee!,0
1,79,460,295,24,Happy birthday to me! Learning Python is fun!,0
1,43,266,219,33,Loving the weather today.,0
0,4,2,743,1,Discount codes available.,1
1,10,1,1001,7,Earn $500 daily easily! Win a free iPhone now. Visit my profile for more.,1
1,30,188,237,29,Check out my latest photo. Learning Python is fun! Working on my new project.,0
1,68,84,339,18,Life is good.,0
1,75,168,214,21,Check out my latest photo. Learning Python is fun! Learning Python is fun!,0
0,3,3,1009,4,Visit my profile for more. Make money online fast. Follow for follow back.,1
1,57,369,282,15,Life is good. Just had a great coffee! Exploring new places.,0
1,73,315,259,20,Just had a great coffee! Happy birthday to me!,0
1,32,300,211,11,Learning Python is fun! Had an amazing trip with friends.,0
0,3,7,921,7,Click here for free money! Win a free iPhone now. Earn $500 daily easily!,1
0,4,7,939,7,DM for collaboration.,1
0,2,7,902,3,Visit my profile for more. Click here for free money!,1
0,1,29,685,2,Cheap luxury bags. Discount codes available.,1
1,70,1123,289,34,Life is good. Learning Python is fun! Had an amazing trip with friends.,0
1,59,2,295,54,Loving the weather today.,0
1,52,495,375,31,Exploring new places.,0
0,1,2,838,27,Earn $500 daily easily! DM for collaboration. Discount codes available.,1
0,0,0,1076,7,Cheap luxury bags. Discount codes available. Win a free iPhone now.,1
0,0,63,864,2,Make money online fast. Cheap luxury bags. Best deals on crypto.,1
1,71,1136,315,34,Happy birthday to me! Learning Python is fun!,0
1,50,288,139,23,Loving the weather today. Had an amazing trip with friends.,0
1,65,23,422,40,Exploring new places.,0
1,28,273,311,17,Loving the weather today. Had an amazing trip with friends.,0
1,46,971,133,20,Just had a great coffee! Check out my latest photo.,0
1,52,295,307,22,Loving the weather today. Exploring new places. Life is good.,0
1,61,128,409,20,Loving the weather today.,0
1,64,79,286,24,Loving the weather today. Learning Python is fun! Check out my latest photo.,0
0,3,10,1399,6,Best deals on crypto. DM for collaboration. Cheap luxury bags.,1
0,14,16,1180,8,Discount codes available. Follow for follow back. Cheap luxury bags.,1
0,4,28,1071,5,Visit my profile for more. Visit my profile for more. Click here for free money!,1
0,2,1,1122,4,Earn $500 daily easily! Discount codes available. Earn $500 daily easily!,1
0,7,13,984,0,Visit my profile for more.,1
0,6,10,1098,11,Visit my profile for more. DM for collaboration.,1
1,62,1998,260,33,Can't wait for the weekend! Happy birthday to me! Check out my latest photo.,0
0,0,13,1151,0,DM for collaboration.,1
1,38,960,260,31,Just had a great coffee! Can't wait for the weekend!,0
0,2,5,988,0,Discount codes available. Follow for follow back.,1
1,94,604,236,31,Working on my new project.,0
0,3,80,1106,10,Best deals on crypto.,1
1,43,177,308,18,Life is good. Working on my new project.,0
0,4,1,834,0,Click here for free money!,1
1,64,105,257,37,Happy birthday to me! Learning Python is fun! Can't wait for the weekend!,0
1,46,75,299,31,Life is good. Can't wait for the weekend!,0
0,5,16,1339,1,DM for collaboration.,1
0,7,15,943,0,Win a free iPhone now. Make money online fast.,1
0,71,1143,437,33,Just had a great coffee!,0
0,14,39,1286,0,Make money online fast.,1
1,28,52,325,45,Had an amazing trip with friends. Exploring new places. Had an amazing trip with friends.,0
1,53,375,380,18,Loving the weather today.,0
1,46,31,446,27,Check out my latest photo. Can't wait for the weekend!,0
1,21,69,235,36,Working on my new project. Life is good. Had an amazing trip with friends.,0
1,7,62,1048,3,Make money online fast. Cheap luxury bags. Earn $500 daily easily!,1
